"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"19450","Barry Smith","Barry","Smith","West Palm Beach","FL","USA","1/15/1951","Florida St.","Green Bay Packers","1st","21st",1973,"WR","1-Jun",190,NA,NA,NA,NA,1982,1982,0,26.7153424,-80.0533746
"19451","Barty Smith","Barty","Smith","Richmond","VA","USA","4/23/1952","Richmond","Green Bay Packers","1st","12th",1974,"RB","3-Jun",240,NA,NA,NA,NA,1982,1982,0,37.5407246,-77.4360481
"19452","Ben Smith","Ben","Smith","Haleyville","AL","USA","6/16/1911","Alabama",NA,NA,NA,NA,"E-BB-DE","3-Jun",208,NA,NA,NA,NA,1982,1982,0,34.226488,-87.6214133
"19453","Ben Smith","Ben","Smith","Warner Robins","GA","USA","5/14/1967","Georgia","Philadelphia Eagles","1st","22nd",1990,"DB","11-May",185,NA,NA,NA,NA,1982,1982,0,32.6130007,-83.624201
"19454","Bill Smith","Bill","Smith","Seattle","WA","USA","1/13/1912","Washington",NA,NA,NA,NA,"E-DE","1-Jun",198,"6/20/1999","Carmel","CA",NA,1982,1982,0,47.6062095,-122.3320708
"19455","Bill Smith","Bill","Smith","Lexington","NC","USA","10/23/1926","North Carolina","Chicago Cardinals","3rd","23rd",1948,"T","2-Jun",250,NA,NA,NA,NA,1982,1982,0,38.0405837,-84.5037164
"19456","Billy Ray Smith","Billy","Ray","Fayetteville","AR","USA","8/10/1961","Arkansas","San Diego Chargers","1st","5th",1983,"LB","3-Jun",235,NA,NA,NA,NA,1982,1982,0,35.0526641,-78.8783585
"19457","Billy Ray Sr. Smith","Billy","Ray","Augusta","AR","USA","1/27/1935","Auburn","Los Angeles Rams","3rd","26th",1957,"DT-DE","4-Jun",240,"3/21/2001","Little Rock","AR",NA,1982,1982,0,33.4734978,-82.0105148
"19458","Blane Smith","Blane","Smith","Gary","IN","USA","7/13/1954","Purdue","Cleveland Browns","7th","184th",1977,"LB","3-Jun",238,NA,NA,NA,NA,1982,1982,0,41.6020403,-87.3371523
"19459","Bob Smith","Bob","Smith","Ranger","TX","USA","8/20/1925","Tulsa","Washington Redskins","24th","219th",1947,"DB-HB-WB","1-Jun",191,"3/1/2002","Flower Mound","TX",NA,1982,1982,0,36.290919,-92.601611
"19460","Bob Smith","Bob","Smith","Williamson","WV","USA","12/28/1945","Miami (OH)","Houston Oilers","16th","430th",1968,"DB","Jun-00",181,NA,NA,NA,NA,1982,1982,0,37.0807609,-94.4767218
"19461","Bob G. Smith","Bob","G.","Council Bluffs","IA","USA","2/23/1933","Nebraska","Cleveland Browns","15th","181st",1955,"HB","10-May",195,NA,NA,NA,NA,1982,1982,0,41.2619444,-95.8608333
"19462","Bob L. Smith","Bob","L.","Houston","TX","USA","2/28/1929","Texas A&M","Cleveland Browns","4th","41st",1951,"FB","Jun-00",205,"1/5/2005","Dallas","TX",NA,1982,1982,0,29.7604267,-95.3698028
"19463","Bobby Smith","Bobby","Smith","Plain Dealing","LA","USA","7/5/1938","UCLA","Los Angeles Rams","7th","88th",1961,"DB","11-May",197,NA,NA,NA,NA,1982,1982,0,32.9051385,-93.6968433
"19464","Bobby L. Smith","Bobby","L.","Corpus Christi","TX","USA","5/18/1942","North Texas","Buffalo Bills","11th","81st",1964,"HB","Jun-00",203,NA,NA,NA,NA,1982,1982,0,27.8005828,-97.396381
"19465","Brad Smith","Brad","Smith","Houston","TX","USA","9/5/1969","TCU",NA,NA,NA,NA,"LB","2-Jun",228,NA,NA,NA,NA,1982,1982,0,29.7604267,-95.3698028
"19466","Brad Smith","Brad","Smith","Youngstown","OH","USA","12/12/1983","Missouri","New York Jets","4th","103rd",2006,"QB","2-Jun",210,NA,NA,NA,NA,1982,1982,0,41.0997803,-80.6495194
"19467","Brady Smith","Brady","Smith","Royal Oak","MI","USA","6/5/1973","Colorado St.","New Orleans Saints","3rd","70th",1996,"DE","5-Jun",274,NA,NA,NA,NA,1982,1982,0,42.4894801,-83.1446485
"19469","Brent Smith","Brent","Smith","Dallas","TX","USA","11/21/1973","Mississippi St.","Miami Dolphins","3rd","96th",1997,"G-T","5-Jun",305,NA,NA,NA,NA,1982,1982,0,32.7766642,-96.7969879
"19470","Brian Smith","Brian","Smith","Brooklyn","NY","USA","4/23/1966","Auburn","Los Angeles Rams","2nd","48th",1989,"LB-DT","6-Jun",242,NA,NA,NA,NA,1982,1982,0,40.6781784,-73.9441579
"19472","Bruce Smith","Bruce","Smith","Fairbault","MN","USA","2/8/1920","Minnesota","Green Bay Packers","13th","119th",1942,"HB-DB-TB","Jun-00",197,"8/28/1967","Alexandria","MN",NA,1982,1982,0,44.2949636,-93.268827
"19473","Bruce Smith","Bruce","Smith","Norfolk","VA","USA","6/18/1963","Virginia Tech","Buffalo Bills","1st","1st",1985,"DE","4-Jun",262,NA,NA,NA,NA,1982,1982,0,36.8507689,-76.2858726
"19475","Bubba Smith","Bubba","Smith","Beaumont","TX","USA","2/28/1945","Michigan St.","Baltimore Colts","1st","1st",1967,"DE-DT","7-Jun",265,"8/3/2011","Baldwin Hills","CA",NA,1982,1982,0,33.9294606,-116.977248
"19476","Byron Smith","Byron","Smith","Los Angeles","CA","USA","12/21/1962","California","Indianapolis Colts","3rd","66th",1984,"DE-DT","5-Jun",278,NA,NA,NA,NA,1982,1982,0,34.0522342,-118.2436849
"19477","Carl Smith","Carl","Smith","Washington Court House","OH","USA","11/22/1932","Tennessee","Detroit Lions","9th","101st",1959,"FB","Jun-00",200,"5/29/2003","Washington Court House","OH",NA,1982,1982,0,39.5364511,-83.4390843
"19478","Cedric Smith","Cedric","Smith","Enterprise","AL","USA","5/27/1968","Florida","Minnesota Vikings","5th","131st",1990,"FB","11-May",238,NA,NA,NA,NA,1982,1982,0,37.223958,-95.7304277
"19479","Charles Smith","Charles","Smith","Aldrich","MO","USA","3/13/1924","Georgia","Chicago Cardinals","16th","142nd",1947,"HB-DB","11-May",170,NA,NA,NA,NA,1982,1982,0,38.6324658,-90.2216255
"19480","Charlie Smith","Charlie","Smith","Sweetwater","TX","USA","4/6/1933","Abilene Christian","San Francisco 49ers","8th","88th",1956,"DE","2-Jun",205,"12/26/2011","San Angelo","TX",NA,1982,1982,0,36.8267349,-94.2657709
"19481","Charlie A. Smith","Charlie","A.","Monroe","LA","USA","7/26/1950","Grambling St.",NA,NA,NA,NA,"WR","1-Jun",185,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19482","Charlie H. Smith","Charlie","H.","Natchez","MS","USA","1/18/1946","Utah","Oakland Raiders","4th","110th",1968,"RB","Jun-00",205,NA,NA,NA,NA,1982,1982,0,31.5604442,-91.403171
"19483","Chris Smith","Chris","Smith","Cincinnati","OH","USA","6/1/1963","Notre Dame",NA,NA,NA,NA,"RB","1-Jun",232,NA,NA,NA,NA,1982,1982,0,39.1031182,-84.5120196
"19485","Chuck Smith","Chuck","Smith","Athens","GA","USA","12/21/1969","Tennessee","Atlanta Falcons","2nd","51st",1992,"DE-LB","2-Jun",257,NA,NA,NA,NA,1982,1982,0,37.9838096,23.7275388
"19486","Clifton Smith","Clifton","Smith","Freeport","NY","USA","7/21/1980","Syracuse",NA,NA,NA,NA,"LB","3-Jun",255,NA,NA,NA,NA,1982,1982,0,26.5416093,-78.6455475
"19487","Clifton Smith","Clifton","Smith","Fresno","CA","USA","7/4/1985","Fresno St.",NA,NA,NA,NA,"RB","8-May",190,NA,NA,NA,NA,1982,1982,0,36.7377981,-119.7871247
"19488","Clyde Smith","Clyde","Smith","Steelville","MO","USA","7/17/1904","Missouri",NA,NA,NA,NA,"C","10-May",184,"12/30/1982","Lawrenceville","IL",NA,1982,1982,0,37.9680999,-91.354868
"19489","Corey Smith","Corey","Smith","Richmond","VA","USA","10/2/1979","North Carolina St.",NA,NA,NA,NA,"DE","2-Jun",250,"3/1/2009",NA,NA,NA,1982,1982,0,37.5407246,-77.4360481
"19493","Dan Smith","Dan","Smith","Matoy","OK","USA","1/29/1935","NE State (OK)",NA,NA,NA,NA,"DB","10-May",180,NA,NA,NA,NA,1982,1982,0,34.1350951,-96.059985
"19494","Darrin Smith","Darrin","Smith","Miami","FL","USA","4/15/1970","Miami (FL)","Dallas Cowboys","2nd","54th",1993,"LB","1-Jun",236,NA,NA,NA,NA,1982,1982,0,25.7616798,-80.1917902
"19495","Daryl Smith","Daryl","Smith","Opelika","AL","USA","5/8/1963","North Alabama","Denver Broncos","9th","249th",1985,"DB","9-May",185,NA,NA,NA,NA,1982,1982,0,32.6454116,-85.3782795
"19496","Daryl Smith","Daryl","Smith","Albany","GA","USA","4/14/1982","Georgia Tech","Jacksonville Jaguars","2nd","39th",2004,"LB","2-Jun",235,NA,NA,NA,NA,1982,1982,0,42.6525793,-73.7562317
"19497","Daryle Smith","Daryle","Smith","Knoxville","TN","USA","1/18/1964","Tennessee",NA,NA,NA,NA,"T","5-Jun",277,"2/11/2010","Knoxville","TN",NA,1982,1982,0,35.9606384,-83.9207392
"19498","Dave Smith","Dave","Smith","Milwaukee","WI","USA","3/23/1937","Ripon","Green Bay Packers","21st","241st",1959,"FB","1-Jun",210,NA,NA,NA,NA,1982,1982,0,43.0389025,-87.9064736
"19499","Dave Smith","Dave","Smith","Salt Lake City","UT","USA","12/9/1947","Utah","Green Bay Packers","13th","328th",1970,"RB","1-Jun",210,NA,NA,NA,NA,1982,1982,0,40.7607793,-111.8910474
"19500","Dave A. Smith","Dave","A.","Hammond","IN","USA","12/12/1964","Southern Illinois",NA,NA,NA,NA,"T","6-Jun",290,NA,NA,NA,NA,1982,1982,0,41.5833688,-87.5000412
"19501","Dave L. Smith","Dave","L.","New York","NY","USA","5/18/1947","Waynesburg","Pittsburgh Steelers","8th","184th",1970,"WR","2-Jun",205,NA,NA,NA,NA,1982,1982,0,40.7127753,-74.0059728
"19502","DeAngelo Smith","DeAngelo","Smith","Columbus","OH","USA","7/17/1986","Cincinnati","Dallas Cowboys","5th","143rd",2009,"DB","11-May",191,NA,NA,NA,NA,1982,1982,0,39.9611755,-82.9987942
"19503","Dennis Smith","Dennis","Smith","Santa Monica","CA","USA","2/3/1959","USC","Denver Broncos","1st","15th",1981,"DB","3-Jun",200,NA,NA,NA,NA,1982,1982,0,34.0194543,-118.4911912
"19504","Dennis P. Smith","Dennis","P.","Hemet","CA","USA","2/14/1967","Utah",NA,NA,NA,NA,"RB","Jun-00",230,NA,NA,NA,NA,1982,1982,0,33.7475203,-116.9719684
"19505","Derek Smith","Derek","Smith","American Fork","UT","USA","1/18/1975","Arizona St.","Washington Redskins","3rd","80th",1997,"LB","2-Jun",245,NA,NA,NA,NA,1982,1982,0,40.3768954,-111.7957645
"19507","Detron Smith","Detron","Smith","Dallas","TX","USA","2/25/1974","Texas A&M","Denver Broncos","3rd","65th",1996,"RB","10-May",229,NA,NA,NA,NA,1982,1982,0,32.7766642,-96.7969879
"19509","Dick Smith","Dick","Smith","East Chicago","IN","USA","1/24/1912","Ohio St.",NA,NA,NA,NA,"C","2-Jun",225,"4/15/1980","New Canaan","CT",NA,1982,1982,0,41.6392024,-87.4547635
"19510","Dick Smith","Dick","Smith","Hamilton","OH","USA","6/19/1944","Northwestern","Kansas City Chiefs","9th","79th",1966,"DB-HB","Jun-00",205,NA,NA,NA,NA,1982,1982,0,37.0148298,-95.6156498
"19513","Don Smith","Don","Smith","Hamilton","MS","USA","10/30/1963","Mississippi St.","Tampa Bay Buccaneers","2nd","51st",1987,"RB-WR","11-May",200,NA,NA,NA,NA,1982,1982,0,37.0148298,-95.6156498
"19514","Don L. Smith","Don","L.","Oakland","CA","USA","5/9/1957","Miami (FL)","Atlanta Falcons","1st","17th",1979,"NT-DE-DT","5-Jun",256,NA,NA,NA,NA,1982,1982,0,37.8043637,-122.2711137
"19515","Donald Smith","Donald","Smith","Danville","VA","USA","2/21/1968","Liberty","Minnesota Vikings","10th","271st",1990,"DB","11-May",189,NA,NA,NA,NA,1982,1982,0,37.8215929,-121.9999606
"19516","Donnell Smith","Donnell","Smith","Lakeland","FL","USA","5/25/1949","Southern","Green Bay Packers","5th","116th",1971,"DE","4-Jun",245,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19517","Doug Smith","Doug","Smith","Mesic","NC","USA","6/13/1959","Auburn","Houston Oilers","2nd","29th",1984,"NT-DT","4-Jun",294,NA,NA,NA,NA,1982,1982,0,35.2004454,-76.6438169
"19518","Doug B. Smith","Doug","B.","Atlanta","GA","USA","2/4/1963","Ohio St.",NA,NA,NA,NA,"DB","Jun-00",192,NA,NA,NA,NA,1982,1982,0,33.7489954,-84.3879824
"19519","Doug C. Smith","Doug","C.","Columbus","OH","USA","11/25/1956","Bowling Green",NA,NA,NA,NA,"C-G-T","3-Jun",259,NA,NA,NA,NA,1982,1982,0,39.9611755,-82.9987942
"19520","Dwight Smith","Dwight","Smith","Detroit","MI","USA","8/13/1978","Akron","Tampa Bay Buccaneers","3rd","84th",2001,"DB","10-May",201,NA,NA,NA,NA,1982,1982,0,42.331427,-83.0457538
"19521","Ed Smith","Ed","Smith","New York","NY","USA","6/17/1913","NYU","Boston Redskins","3rd","20th",1936,"BB-FB-TB-DB","2-Jun",207,NA,NA,NA,NA,1982,1982,0,40.7127753,-74.0059728
"19522","Ed Smith","Ed","Smith","Fort Monroe","VA","USA","7/20/1923","Texas-El Paso","Green Bay Packers","3rd","19th",1948,"HB-DB","3-Jun",185,NA,NA,NA,NA,1982,1982,0,37.0040553,-76.3073197
"19523","Ed Smith","Ed","Smith","Nassau",NA,"Bahamas","10/23/1950","Colorado Col.","Denver Broncos","13th","319th",1973,"DE","5-Jun",241,NA,NA,NA,NA,1982,1982,0,25.0479835,-77.355413
"19524","Ed Smith","Ed","Smith","Knoxville","TN","USA","5/18/1957","Vanderbilt","Pittsburgh Steelers","12th","322nd",1979,"LB","2-Jun",216,NA,NA,NA,NA,1982,1982,0,35.9606384,-83.9207392
"19525","Ed Smith","Ed","Smith","Trenton","NJ","USA","6/5/1969","none",NA,NA,NA,NA,"TE","4-Jun",253,NA,NA,NA,NA,1982,1982,0,40.2205824,-74.759717
"19526","Elliot Smith","Elliot","Smith","Jackson","MS","USA","8/14/1967","Alcorn St.","San Diego Chargers","5th","120th",1989,"DB","2-Jun",192,NA,NA,NA,NA,1982,1982,0,37.0328728,-95.6316455
"19527","Emanuel Smith","Emanuel","Smith","Jackson","MS","USA","2/3/1976","Arkansas","Jacksonville Jaguars","6th","196th",2000,"WR","1-Jun",210,NA,NA,NA,NA,1982,1982,0,37.0328728,-95.6316455
"19528","Emmitt Smith","Emmitt","Smith","Pensacola","FL","USA","5/15/1969","Florida","Dallas Cowboys","1st","17th",1990,"RB","9-May",210,NA,NA,NA,NA,1982,1982,0,30.421309,-87.2169149
"19529","Eric Smith","Eric","Smith","Houston","TX","USA","12/22/1959","SMU",NA,NA,NA,NA,"DB","10-May",190,NA,NA,NA,NA,1982,1982,0,29.7604267,-95.3698028
"19530","Eric Smith","Eric","Smith","Vero Beach","FL","USA","1/5/1971","LSU",NA,NA,NA,NA,"WR","11-May",183,NA,NA,NA,NA,1982,1982,0,27.6386434,-80.3972736
"19531","Eric Smith","Eric","Smith","Groveport","OH","USA","3/17/1983","Michigan St.","New York Jets","3rd","97th",2006,"DB","1-Jun",209,NA,NA,NA,NA,1982,1982,0,39.8532057,-82.888276
"19532","Ernie Smith","Ernie","Smith","Spearfish","SD","USA","11/26/1909","USC",NA,NA,NA,NA,"T","2-Jun",224,"4/25/1985","Altadena","CA",NA,1982,1982,0,44.4908172,-103.8593697
"19534","Fernando Smith","Fernando","Smith","Flint","MI","USA","8/2/1971","Jackson St.","Minnesota Vikings","2nd","55th",1994,"DE","6-Jun",287,NA,NA,NA,NA,1982,1982,0,43.0125274,-83.6874562
"19535","Fletcher Smith","Fletcher","Smith","Hearne","TX","USA","10/13/1943","Tennessee St.","Kansas City Chiefs","8th","69th",1966,"DB-K","Jun-00",178,NA,NA,NA,NA,1982,1982,0,30.8785238,-96.5930258
"19536","Frankie Smith","Frankie","Smith","Fort Worth","TX","USA","10/8/1968","Baylor","Atlanta Falcons","4th","104th",1992,"DB","9-May",186,NA,NA,NA,NA,1982,1982,0,32.7554883,-97.3307658
"19537","Franky Smith","Franky","Smith","Birmingham","AL","USA","1/16/1956","Alabama A&M","Denver Broncos","8th","221st",1978,"T","6-Jun",279,NA,NA,NA,NA,1982,1982,0,33.5185892,-86.8103567
"19538","Gary Smith","Gary","Smith","Bitburg AFB",NA,"Germany","1/27/1960","Virginia Tech",NA,NA,NA,NA,"G","2-Jun",265,NA,NA,NA,NA,1982,1982,0,49.9457409,6.5582398
"19539","Gaylon Smith","Gaylon","Smith","Lonoke","AR","USA","7/15/1916","Rhodes","Cleveland Rams","2nd","13th",1939,"FB-WB-BB-DB-LB","11-May",202,"3/10/1958","Cleveland","OH",NA,1982,1982,0,34.7839795,-91.8998611
"19540","Gene Smith","Gene","Smith","Montgomery","AL","USA","9/25/1905","Georgia",NA,NA,NA,NA,"G","9-May",190,"12/10/1979","Atlanta","GA",NA,1982,1982,0,32.3792233,-86.3077368
"19543","George W. Smith","George","W.","Los Angeles","CA","USA","6/3/1914","California",NA,NA,NA,NA,"C","2-Jun",220,"3/5/1986","Walnut Creek","CA",NA,1982,1982,0,34.0522342,-118.2436849
"19544","Gordie Smith","Gordie","Smith","Douglas","AZ","USA","4/9/1939","Arizona St.",NA,NA,NA,NA,"TE","2-Jun",220,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19545","Greg Smith","Greg","Smith","Chicago","IL","USA","10/22/1959","Kansas","Kansas City Chiefs","7th","184th",1982,"DE-NT","3-Jun",270,NA,NA,NA,NA,1982,1982,0,41.8781136,-87.6297982
"19547","Hal Smith","Hal","Smith","Santa Monica","CA","USA","10/3/1935","UCLA","Chicago Cardinals","18th","214th",1957,"DT","5-Jun",250,NA,NA,NA,NA,1982,1982,0,34.0194543,-118.4911912
"19548","Hank Smith","Hank","Smith","Lancaster","NY","USA","1893-07-23","none",NA,NA,NA,NA,"C-G-T","1-Jun",189,"2/3/1985","Buffalo","NY",NA,1982,1982,0,40.0378755,-76.3055144
"19550","Harry Smith","Harry","Smith","Russellville","MO","USA","8/26/1918","USC","Detroit Lions","5th","36th",1940,"T","11-May",215,NA,NA,NA,NA,1982,1982,0,35.2784173,-93.1337856
"19552","Herman Smith","Herman","Smith","Mound Bayou","MS","USA","1/25/1971","Portland St.",NA,NA,NA,NA,"DE","5-Jun",261,NA,NA,NA,NA,1982,1982,0,33.8781674,-90.7273204
"19553","Holden Smith","Holden","Smith","San Jose","CA","USA","11/5/1958","California","Baltimore Colts","11th","288th",1981,"WR","1-Jun",191,NA,NA,NA,NA,1982,1982,0,37.3382082,-121.8863286
"19554","Hugh Smith","Hugh","Smith","Henryetta","OK","USA","8/27/1936","Kansas",NA,NA,NA,NA,"WR","4-Jun",217,NA,NA,NA,NA,1982,1982,0,35.4398261,-95.9819429
"19555","Hunter Smith","Hunter","Smith","Sherman","TX","USA","8/9/1977","Notre Dame","Indianapolis Colts","7th","210th",1999,"P","2-Jun",209,NA,NA,NA,NA,1982,1982,0,33.6356618,-96.6088805
"19556","Irv Smith","Irv","Smith","Trenton","NJ","USA","10/13/1971","Notre Dame","New Orleans Saints","1st","20th",1993,"TE","3-Jun",249,NA,NA,NA,NA,1982,1982,0,40.2205824,-74.759717
"19557","J.D. Smith","J.D.","Smith","Plainville","SC","USA","7/19/1932","North Carolina A&T","Chicago Bears","15th","179th",1955,"FB-HB-DB","1-Jun",205,NA,NA,NA,NA,1982,1982,0,41.6757457,-72.8633635
"19558","J.D. Smith","J.D.","Smith","Richland Springs","TX","USA","5/27/1936","Rice","Philadelphia Eagles","2nd","15th",1959,"T","2-Jun",250,NA,NA,NA,NA,1982,1982,0,31.2696099,-98.9450461
"19560","J.T. Smith","J.T.","Smith","Leonard","TX","USA","10/29/1955","North Texas",NA,NA,NA,NA,"WR","2-Jun",185,NA,NA,NA,NA,1982,1982,0,35.9207382,-95.7990419
"19561","Jack Smith","Jack","Smith","Los Angeles","CA","USA","8/11/1917","Stanford",NA,NA,NA,NA,"DE-E","1-Jun",200,NA,NA,NA,NA,1982,1982,0,34.0522342,-118.2436849
"19562","Jack Smith","Jack","Smith","Ocilla","GA","USA","12/4/1947","Memphis","Philadelphia Eagles","6th","133rd",1971,"DB","4-Jun",204,NA,NA,NA,NA,1982,1982,0,31.5943567,-83.2504328
"19563","Jackie Smith","Jackie","Smith","Columbia","MS","USA","2/23/1940","NW State (LA)","St. Louis Cardinals","10th","129th",1963,"TE","4-Jun",235,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19566","Jason Smith","Jason","Smith","Dallas","TX","USA","4/30/1986","Baylor","St. Louis Rams","1st","2nd",2009,"T","4-Jun",305,NA,NA,NA,NA,1982,1982,0,32.7766642,-96.7969879
"19567","Jeff Smith","Jeff","Smith","Freeport","LA","USA","11/12/1943","USC","New York Giants","10th","151st",1966,"LB","Jun-00",237,NA,NA,NA,NA,1982,1982,0,26.5416093,-78.6455475
"19568","Jeff Smith","Jeff","Smith","Wichita","KS","USA","3/22/1962","Nebraska","Kansas City Chiefs","10th","267th",1985,"RB","9-May",201,NA,NA,NA,NA,1982,1982,0,37.6871761,-97.330053
"19569","Jeff Smith","Jeff","Smith","Spring Valley","TN","USA","5/4/1962","Air Force",NA,NA,NA,NA,"DE","4-Jun",248,NA,NA,NA,NA,1982,1982,0,32.744774,-116.998916
"19570","Jeff Smith","Jeff","Smith","Decatur","TN","USA","5/25/1973","Tennessee","Kansas City Chiefs","7th","241st",1996,"C","3-Jun",322,NA,NA,NA,NA,1982,1982,0,33.7748275,-84.2963123
"19571","Jeff A. Smith","Jeff","A.","Milan","TN","USA","12/28/1962","Tennessee",NA,NA,NA,NA,"TE","3-Jun",240,NA,NA,NA,NA,1982,1982,0,45.4642035,9.189982
"19572","Jermaine Smith","Jermaine","Smith","Augusta","GA","USA","2/3/1972","Georgia","Green Bay Packers","4th","126th",1997,"DT","3-Jun",298,NA,NA,NA,NA,1982,1982,0,33.4734978,-82.0105148
"19573","Jerry Smith","Jerry","Smith","Dayton","OH","USA","9/9/1930","Wisconsin","San Francisco 49ers","8th","94th",1952,"G-LB","1-Jun",230,"8/6/2011","Silver Spring","MD",NA,1982,1982,0,39.7589478,-84.1916069
"19574","Jerry Smith","Jerry","Smith","Eugene","OR","USA","7/19/1943","Arizona St.","Washington Redskins","9th","118th",1965,"TE-SE-FL","3-Jun",208,"10/15/1986","Silver Spring","MD",NA,1982,1982,0,44.0520691,-123.0867536
"19575","Jim Smith","Jim","Smith","Alto","TX","USA","9/9/1922","Colorado","Cleveland Rams","27th","284th",1944,"T","4-Jun",270,"8/2/1977","Rochester","MN",NA,1982,1982,0,29.9483315,-90.0718664
"19576","Jim Smith","Jim","Smith","Yazoo City","MS","USA","11/4/1946","Oregon","Washington Redskins","1st","12th",1968,"DB","3-Jun",195,NA,NA,NA,NA,1982,1982,0,32.8551326,-90.4056468
"19577","Jim Smith","Jim","Smith","Harvey","IL","USA","7/20/1955","Michigan","Pittsburgh Steelers","3rd","75th",1977,"WR","2-Jun",205,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19578","Jim Ray Smith","Jim","Ray","West Columbia","TX","USA","2/27/1932","Baylor","Cleveland Browns","6th","64th",1954,"G-T-DE","3-Jun",241,NA,NA,NA,NA,1982,1982,0,33.9934867,-81.0739825
"19579","Jimmy Smith","Jimmy","Smith","Stockton","CA","USA","7/12/1945","Utah St.","Denver Broncos","10th","244th",1969,"DB","3-Jun",190,NA,NA,NA,NA,1982,1982,0,37.9577016,-121.2907796
"19580","Jimmy Smith","Jimmy","Smith","Detroit","MI","USA","2/9/1969","Jackson St.","Dallas Cowboys","2nd","36th",1992,"WR","1-Jun",213,NA,NA,NA,NA,1982,1982,0,42.331427,-83.0457538
"19582","Jimmy K. Smith","Jimmy","K.","Kankakee","IL","USA","9/25/1960","Purdue","Washington Redskins","4th","102nd",1984,"RB","Jun-00",205,NA,NA,NA,NA,1982,1982,0,41.1200325,-87.8611531
"19583","Joe Smith","Joe","Smith","Electra","TX","USA","7/23/1922","Schreiner College","Chicago Cardinals","28th","260th",1947,"E-DB","1-Jun",183,"4/8/1978","Odessa","TX",NA,1982,1982,0,34.0292588,-98.9189575
"19584","Joey Smith","Joey","Smith","Knoxville","TN","USA","5/30/1969","Louisville",NA,NA,NA,NA,"WR","10-May",177,NA,NA,NA,NA,1982,1982,0,35.9606384,-83.9207392
"19585","John Smith","John","Smith","Leafield",NA,"England","12/30/1949","King Alfred's (England)",NA,NA,NA,NA,"K","Jun-00",186,NA,NA,NA,NA,1982,1982,0,51.8354846,-1.5399958
"19587","John H. Smith","John","H.","Tuskegee","AL","USA","1/27/1956","Tennessee St.","Cleveland Browns","10th","261st",1979,"WR","Jun-00",175,NA,NA,NA,NA,1982,1982,0,32.430237,-85.7077266
"19588","Johnny Ray Smith","Johnny","Ray","Crockett","TX","USA","9/7/1957","Lamar","Tampa Bay Buccaneers","11th","283rd",1981,"DB","9-May",183,NA,NA,NA,NA,1982,1982,0,31.3182359,-95.4566136
"19589","Jonathan Smith","Jonathan","Smith","Argyle","GA","USA","11/28/1981","Georgia Tech","Buffalo Bills","7th","214th",2004,"WR","10-May",194,NA,NA,NA,NA,1982,1982,0,33.1212321,-97.1833475
"19590","Justin Smith","Justin","Smith","Jefferson City","MO","USA","9/30/1979","Missouri","Cincinnati Bengals","1st","4th",2001,"DE","4-Jun",270,NA,NA,NA,NA,1982,1982,0,38.5767017,-92.1735164
"19591","Justin C. Smith","Justin","C.","Indianapolis","IN","USA","6/5/1979","Indiana",NA,NA,NA,NA,"LB","Jun-00",218,NA,NA,NA,NA,1982,1982,0,39.768403,-86.158068
"19592","Keith Smith","Keith","Smith","Leesville","LA","USA","3/20/1980","McNeese St.","Detroit Lions","3rd","73rd",2004,"DB","11-May",192,NA,NA,NA,NA,1982,1982,0,35.9070164,-78.7260244
"19593","Kelvin Smith","Kelvin","Smith","Spring Valley","NY","USA","3/20/1984","Syracuse","Miami Dolphins","7th","219th",2007,"LB","2-Jun",232,NA,NA,NA,NA,1982,1982,0,32.744774,-116.998916
"19594","Ken Smith","Ken","Smith","Houston","TX","USA","7/27/1951","New Mexico",NA,NA,NA,NA,"TE","4-Jun",225,NA,NA,NA,NA,1982,1982,0,29.7604267,-95.3698028
"19595","Ken Smith","Ken","Smith","Indianapolis","IN","USA","10/16/1960","Evansville",NA,NA,NA,NA,"G","2-Jun",285,NA,NA,NA,NA,1982,1982,0,39.768403,-86.158068
"19596","Kendal Smith","Kendal","Smith","San Mateo","CA","USA","11/23/1965","Utah St.","Cincinnati Bengals","7th","194th",1989,"WR","10-May",189,NA,NA,NA,NA,1982,1982,0,37.5629917,-122.3255254
"19597","Kenny Smith","Kenny","Smith","Meridian","MS","USA","9/8/1977","Alabama","New Orleans Saints","3rd","81st",2001,"DT-DE","4-Jun",295,NA,NA,NA,NA,1982,1982,0,37.09024,-95.712891
"19598","Kevin Smith","Kevin","Smith","Bakersfield","CA","USA","7/25/1969","UCLA","Los Angeles Raiders","7th","185th",1992,"TE","4-Jun",255,NA,NA,NA,NA,1982,1982,0,35.3732921,-119.0187125
"19599","Kevin Smith","Kevin","Smith","Miami","FL","USA","12/17/1986","Central Florida","Detroit Lions","3rd","64th",2008,"RB","Jun-00",210,NA,NA,NA,NA,1982,1982,0,25.7616798,-80.1917902
