"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"653","Larry Atkins","Larry","Atkins","Santa Monica","CA","USA","7/21/1975","UCLA","Kansas City Chiefs","3rd","84th",1999,"LB","3-Jun",250,NA,NA,NA,NA,1954,1956,2,34.0194543,-118.4911912
"654","Pervis Atkins","Pervis","Atkins","Ruston","LA","USA","11/24/1935","San Francisco St.","Los Angeles Rams","3rd","30th",1960,"FL-HB-WR","1-Jun",230,NA,NA,NA,NA,1954,1956,2,32.5232053,-92.637927
"655","Steve Atkins","Steve","Atkins","Spotsylvania","VA","USA","6/22/1956","Maryland","Green Bay Packers","2nd","44th",1979,"RB","Jun-00",216,NA,NA,NA,NA,1954,1956,2,38.204165,-77.6077865
"656","Al Atkinson","Al","Atkinson","Philadelphia","PA","USA","7/28/1943","Villanova","Buffalo Bills","3rd","24th",1965,"LB","2-Jun",230,NA,NA,NA,NA,1954,1956,2,39.9525839,-75.1652215
"658","George Atkinson","George","Atkinson","Savannah","GA","USA","1/4/1947","Morris Brown","Oakland Raiders","7th","190th",1968,"DB","Jun-00",180,NA,NA,NA,NA,1954,1956,2,32.0808989,-81.091203
"659","Jess Atkinson","Jess","Atkinson","Ann Arbor","MI","USA","12/11/1961","Maryland",NA,NA,NA,NA,"K","9-May",165,NA,NA,NA,NA,1954,1956,2,42.2808256,-83.7430378
"660","Ricky Atkinson","Ricky","Atkinson","Middletown","CT","USA","8/28/1965","Southern Connecticut St.",NA,NA,NA,NA,"DB","Jun-00",175,NA,NA,NA,NA,1954,1956,2,41.5623209,-72.6506488
"661","O.J. Atogwe","O.J.","Atogwe","Windsor",NA,"Canada","6/23/1981","Stanford","St. Louis Rams","3rd","66th",2005,"DB","11-May",203,NA,NA,NA,NA,2005,2011,6,37.6835476,-97.2473769
"662","Reggie Attache","Reggie","Attache","Pechange Indian Reservation","CA","USA","1894-02-05","Sherman Indian",NA,NA,NA,NA,"WB-FB","7-May",195,"6/22/1955","Pecanga Indian Reservation ","CA",NA,1922,1922,0,33.4458636,-117.058084
"663","Alex Atty","Alex","Atty","Johnstown","PA","USA","12/8/1916","West Virginia","Cleveland Rams","18th","163rd",1939,"G","8-May",216,"5/2/1973","Pottsville","PA",NA,1922,1922,0,40.3267407,-78.9219698
"664","Steve Atwater","Steve","Atwater","Chicago","IL","USA","10/28/1966","Arkansas","Denver Broncos","1st","20th",1989,"DB","3-Jun",218,NA,NA,NA,NA,1989,1999,10,41.8781136,-87.6297982
"665","John Atwood","John","Atwood","Janesville","WI","USA","1/27/1923","Wisconsin",NA,NA,NA,NA,"HB-WB-DB","11-May",195,"7/13/2008","Houston","TX",NA,1989,1999,10,42.6827885,-89.0187222
"667","Earl Audet","Earl","Audet","Providence","RI","USA","5/14/1921","Georgetown (DC)","Washington Redskins","3rd","23rd",1944,"T","2-Jun",252,"12/18/2002","Los Angeles","CA",NA,1945,1948,3,41.8239891,-71.4128343
"668","Dan Audick","Dan","Audick","San Bernardino","CA","USA","11/15/1954","Hawaii","Pittsburgh Steelers","4th","106th",1977,"T-G","3-Jun",252,NA,NA,NA,NA,1945,1948,3,34.1083449,-117.2897652
"669","Howie Auer","Howie","Auer","Detroit","MI","USA","1/9/1908","Michigan",NA,NA,NA,NA,"T","1-Jun",205,"11/12/1985","Venice","FL",NA,1933,1933,0,42.331427,-83.0457538
"670","Jim Auer","Jim","Auer","Philadelphia","PA","USA","1/4/1962","Georgia",NA,NA,NA,NA,"DE","7-Jun",275,NA,NA,NA,NA,1933,1933,0,39.9525839,-75.1652215
"671","Joe Auer","Joe","Auer","Trenton","NJ","USA","10/11/1941","Miami (FL)","Los Angeles Rams","5th","57th",1963,"RB","1-Jun",200,NA,NA,NA,NA,1933,1933,0,40.2205824,-74.759717
"672","Scott Auer","Scott","Auer","Fort Wayne","IN","USA","10/4/1961","Michigan St.","Kansas City Chiefs","9th","229th",1984,"G-T","5-Jun",255,NA,NA,NA,NA,1933,1933,0,41.079273,-85.1393513
"673","Todd Auer","Todd","Auer","Winona","MS","USA","1/8/1965","West. Illinois",NA,NA,NA,NA,"LB","1-Jun",230,NA,NA,NA,NA,1933,1933,0,44.0553908,-91.6663523
"674","Dowe Aughtman","Dowe","Aughtman","Brewton","AL","USA","1/28/1961","Auburn","Dallas Cowboys","11th","304th",1984,"DT","2-Jun",260,NA,NA,NA,NA,1984,1984,0,31.1051779,-87.0721918
"675","Sky August","Sky","August","Mahanoy City","PA","USA","8/5/1904","Villanova",NA,NA,NA,NA,"TB-WB","10-May",180,"10/15/1993","Mahanoy City","PA",NA,1984,1984,0,40.8125881,-76.1416033
"676","Steve August","Steve","August","Jeannette","PA","USA","9/4/1954","Tulsa","Seattle Seahawks","1st","14th",1977,"T","4-Jun",255,NA,NA,NA,NA,1984,1984,0,40.3281246,-79.6153198
"677","Gene Augusterfer","Gene","Augusterfer","Washington","DC","USA","10/4/1914","Catholic",NA,NA,NA,NA,"BB-DB","9-May",180,"1/17/1957","Washington","DC",NA,1984,1984,0,47.7510741,-120.7401385
"678","Mike Augustyniak","Mike","Augustyniak","Fort Wayne","IN","USA","7/17/1956","Purdue",NA,NA,NA,NA,"RB","11-May",225,NA,NA,NA,NA,1984,1984,0,41.079273,-85.1393513
"679","Chalmers Ault","Chalmers","Ault","Jacobsburg","OH","USA","7/10/1900","West Virginia Wesleyan",NA,NA,NA,NA,"T","9-May",195,"5/18/1979","Buckhannon","WV",NA,1924,1925,1,40.7844359,-75.2929651
"680","David Aupiu","David","Aupiu","Honolulu","HI","USA","2/10/1961","BYU",NA,NA,NA,NA,"LB","2-Jun",235,NA,NA,NA,NA,1987,1987,0,21.3069444,-157.8583333
"682","Bill Austin","Bill","Austin","San Pedro","CA","USA","10/18/1928","Oregon St.","New York Giants","13th","126th",1949,"G-T","1-Jun",223,NA,NA,NA,NA,2011,2013,2,33.7360619,-118.2922461
"683","Billy Austin","Billy","Austin","Washington","DC","USA","3/8/1975","New Mexico",NA,NA,NA,NA,"DB","10-May",195,NA,NA,NA,NA,2011,2013,2,47.7510741,-120.7401385
"684","Cliff Austin","Cliff","Austin","Atlanta","GA","USA","3/2/1960","Clemson","New Orleans Saints","3rd","66th",1983,"RB","Jun-00",203,NA,NA,NA,NA,2011,2013,2,33.7489954,-84.3879824
"685","Darrell Austin","Darrell","Austin","Union","SC","USA","11/6/1951","South Carolina","Denver Broncos","16th","404th",1974,"G-C-T","4-Jun",250,NA,NA,NA,NA,2011,2013,2,37.09024,-95.712891
"686","Eric Austin","Eric","Austin","Moss Point","MS","USA","6/7/1973","Jackson St.","Tampa Bay Buccaneers","4th","104th",1996,"DB","10-May",217,NA,NA,NA,NA,2011,2013,2,30.4115881,-88.5344601
"687","Hise Austin","Hise","Austin","Houston","TX","USA","9/8/1950","Prairie View","Green Bay Packers","8th","202nd",1973,"DB","4-Jun",191,NA,NA,NA,NA,2011,2013,2,29.7604267,-95.3698028
"688","Jim Austin","Jim","Austin","Omaha","NE","USA","9/10/1913","St. Mary's (CA)",NA,NA,NA,NA,"E","2-Jun",199,NA,NA,NA,NA,2011,2013,2,41.2565369,-95.9345034
"689","Kent Austin","Kent","Austin","Natick","MA","USA","6/25/1963","Mississippi","St. Louis Cardinals","12th","312th",1986,"QB","1-Jun",195,NA,NA,NA,NA,2011,2013,2,42.2775281,-71.3468091
"691","Miles Austin","Miles","Austin","Summitt","NJ","USA","6/30/1984","Monmouth",NA,NA,NA,NA,"WR","3-Jun",215,NA,NA,NA,NA,2011,2013,2,30.4185353,-97.7192044
"692","Ocie Austin","Ocie","Austin","Norfolk","VA","USA","1/8/1947","Utah St.","Baltimore Colts","10th","257th",1968,"DB","3-Jun",200,NA,NA,NA,NA,2011,2013,2,36.8507689,-76.2858726
"693","Raymond Austin","Raymond","Austin","Greensboro","NC","USA","12/21/1974","Tennessee","New York Jets","5th","145th",1997,"DB","11-May",190,NA,NA,NA,NA,2011,2013,2,36.0726354,-79.7919754
"694","Reggie Austin","Reggie","Austin","Atlanta","GA","USA","1/21/1977","Wake Forest","Chicago Bears","4th","125th",2000,"DB","9-May",185,NA,NA,NA,NA,2011,2013,2,33.7489954,-84.3879824
"697","Terrence Austin","Terrence","Austin","Long Beach","CA","USA","8/25/1988","UCLA","Washington Redskins","7th","219th",2010,"WR","11-May",175,NA,NA,NA,NA,2011,2013,2,33.7700504,-118.1937395
"699","Billy Autrey","Billy","Autrey","Ridge","TX","USA","1/17/1933","S.F. Austin",NA,NA,NA,NA,"C","3-Jun",220,NA,NA,NA,NA,1953,1953,0,37.09024,-95.712891
"700","Darnell Autry","Darnell","Autry","Wiesbaden",NA,"Germany","6/19/1976","Northwestern","Chicago Bears","4th","105th",1997,"RB","10-May",210,NA,NA,NA,NA,1953,1953,0,50.0782184,8.2397608
"701","Hank Autry","Hank","Autry","Hattiesburg","MS","USA","5/2/1947","Southern Miss","Houston Oilers","17th","430th",1969,"C","3-Jun",240,NA,NA,NA,NA,1953,1953,0,31.3271189,-89.2903392
"702","Troy Auzenne","Troy","Auzenne","El Monte","CA","USA","6/26/1969","California","Chicago Bears","2nd","49th",1992,"T","7-Jun",293,NA,NA,NA,NA,1992,1996,4,34.0686206,-118.0275667
"703","Jason Avant","Jason","Avant","Chicago","IL","USA","4/20/1983","Michigan","Philadelphia Eagles","4th","109th",2006,"WR","Jun-00",210,NA,NA,NA,NA,2006,2013,7,41.8781136,-87.6297982
"704","Chuck Avedisian","Chuck","Avedisian","West Hoboken","NJ","USA","9/19/1917","Providence",NA,NA,NA,NA,"G-LB","9-May",203,"8/26/1983","New Britain","CT",NA,1942,1944,2,40.7439905,-74.0323626
"705","Bob Avellini","Bob","Avellini","Queens","NY","USA","8/28/1953","Maryland","Chicago Bears","6th","135th",1975,"QB","2-Jun",208,NA,NA,NA,NA,1942,1944,2,40.7282239,-73.7948516
"706","John Aveni","John","Aveni","Glassboro","NJ","USA","3/17/1935","Indiana","Chicago Bears","27th","321st",1959,"K-DE","3-Jun",212,"1/20/2002","Philadelphia","PA",NA,1942,1944,2,39.7028923,-75.1118422
"707","Sisto Averno","Sisto","Averno","Paterson","NJ","USA","5/12/1925","Muhlenberg",NA,NA,NA,NA,"LB-MG-G","11-May",235,"3/26/2012","Pikesville","MD",NA,1942,1944,2,40.9167654,-74.171811
"708","Don Avery","Don","Avery","Los Angeles","CA","USA","2/10/1921","Alabama",NA,NA,NA,NA,"T","4-Jun",254,"8/8/2006","Long Beach","CA",NA,1942,1944,2,34.0522342,-118.2436849
"709","Donnie Avery","Donnie","Avery","Houston","TX","USA","6/12/1984","Houston","St. Louis Rams","2nd","33rd",2008,"WR","11-May",186,NA,NA,NA,NA,1942,1944,2,29.7604267,-95.3698028
"710","Jim Avery","Jim","Avery","Grand Rapids","MI","USA","7/11/1944","Northern Illinois",NA,NA,NA,NA,"TE","2-Jun",235,NA,NA,NA,NA,1942,1944,2,42.9633599,-85.6680863
"711","John Avery","John","Avery","Richmond","VA","USA","1/11/1976","Mississippi","Miami Dolphins","1st","29th",1998,"RB","9-May",188,NA,NA,NA,NA,1942,1944,2,37.5407246,-77.4360481
"712","Ken Avery","Ken","Avery","New York","NY","USA","5/23/1944","Southern Miss","New York Giants","12th","179th",1966,"LB","Jun-00",227,NA,NA,NA,NA,1942,1944,2,40.7127753,-74.0059728
"713","Steve Avery","Steve","Avery","Milwaukee","WI","USA","8/18/1966","Northern Michigan",NA,NA,NA,NA,"RB","2-Jun",233,NA,NA,NA,NA,1942,1944,2,43.0389025,-87.9064736
"714","Joe Avezzano","Joe","Avezzano","Yonkers","NY","USA","11/17/1943","Florida St.",NA,NA,NA,NA,"C","2-Jun",235,"4/5/2012","Milan","Italy",NA,1942,1944,2,40.9312099,-73.8987469
"715","Butch Avinger","Butch","Avinger","Beatrice","AL","USA","12/15/1928","Alabama","Pittsburgh Steelers","1st","9th",1951,"FB","1-Jun",215,"8/20/2008","Pelham","AL",NA,1953,1953,0,40.2659269,-96.7466913
"716","Cliff Avril","Cliff","Avril","Orange Park","FL","USA","4/8/1986","Purdue","Detroit Lions","3rd","92nd",2008,"DE","3-Jun",252,NA,NA,NA,NA,2008,2013,5,30.1660736,-81.706484
"717","Robert Awalt","Robert","Awalt","Landsthul",NA,"Germany","4/9/1964","Nevada-Reno","St. Louis Cardinals","3rd","62nd",1987,"TE","5-Jun",258,NA,NA,NA,NA,1987,1993,6,49.4141464,7.5709052
"719","Brendon Ayanbadejo","Brendon","Ayanbadejo","Chicago","IL","USA","9/6/1976","UCLA",NA,NA,NA,NA,"LB","1-Jun",230,NA,NA,NA,NA,2003,2012,9,41.8781136,-87.6297982
"720","Obafemi Ayanbadejo","Obafemi","Ayanbadejo","Chicago","IL","USA","3/5/1975","San Diego St.",NA,NA,NA,NA,"RB","2-Jun",235,NA,NA,NA,NA,2003,2012,9,41.8781136,-87.6297982
"721","Buddy Aydelette","Buddy","Aydelette","Mobile","AL","USA","8/19/1956","Alabama","Green Bay Packers","7th","169th",1980,"T","4-Jun",256,NA,NA,NA,NA,1980,1987,7,37.047544,-95.638411
"723","John Ayers","John","Ayers","Carrizo Springs","TX","USA","4/14/1953","Texas","San Francisco 49ers","8th","223rd",1976,"G-T","5-Jun",258,"10/2/1995","Canyon","TX",NA,2011,2013,2,28.5219292,-99.8606107
"724","Marvin Ayers","Marvin","Ayers","Dallas","TX","USA","9/12/1963","SMU",NA,NA,NA,NA,"DE","5-Jun",265,NA,NA,NA,NA,2011,2013,2,32.7766642,-96.7969879
"725","Robert Ayers","Robert","Ayers","Clio","SC","USA","9/6/1985","Tennessee","Denver Broncos","1st","18th",2009,"DE","3-Jun",273,NA,NA,NA,NA,2011,2013,2,43.1775256,-83.7341274
"726","Kole Ayi","Kole","Ayi","Ann Arbor","MI","USA","9/27/1978","Massachusetts",NA,NA,NA,NA,"LB","1-Jun",231,NA,NA,NA,NA,2001,2002,1,42.2808256,-83.7430378
"727","Akin Ayodele","Akin","Ayodele","Dallas","TX","USA","9/17/1979","Purdue","Jacksonville Jaguars","3rd","89th",2002,"LB","2-Jun",251,NA,NA,NA,NA,2002,2010,8,32.7766642,-96.7969879
"728","Remi Ayodele","Remi","Ayodele","Grand Prairie","TX","USA","4/22/1983","Oklahoma",NA,NA,NA,NA,"LB","2-Jun",250,NA,NA,NA,NA,2002,2010,8,32.7459645,-96.9977846
"729","Joe Azelby","Joe","Azelby","New York","NY","USA","3/5/1962","Harvard","Buffalo Bills","10th","263rd",1984,"LB","1-Jun",225,NA,NA,NA,NA,1984,1984,0,40.7127753,-74.0059728
"730","Jerry Azumah","Jerry","Azumah","Oklahoma City","OK","USA","9/1/1977","New Hampshire","Chicago Bears","5th","147th",1999,"DB","10-May",195,NA,NA,NA,NA,1999,2005,6,35.4675602,-97.5164276
"731","Mike Baab","Mike","Baab","Fort Worth","TX","USA","12/6/1959","Texas","Cleveland Browns","5th","115th",1982,"C","4-Jun",270,NA,NA,NA,NA,1982,1992,10,32.7554883,-97.3307658
"732","Steve Baack","Steve","Baack","Ames","IA","USA","11/16/1960","Oregon","Detroit Lions","3rd","75th",1984,"NT-G-DE-DT","4-Jun",264,NA,NA,NA,NA,1982,1992,10,42.0307812,-93.6319131
"733","David Baas","David","Baas","Bixby","OK","USA","9/28/1981","Michigan","San Francisco 49ers","2nd","33rd",2005,"G-C","4-Jun",319,NA,NA,NA,NA,1982,1992,10,35.9420431,-95.8833235
"734","Al Babartsky","Al","Babartsky","Shenandoah","PA","USA","4/19/1915","Fordham","Chicago Cardinals","5th","35th",1938,"T","Jun-00",225,"12/29/2002","Kettering","OH",NA,1938,1945,7,38.2927558,-78.6795836
"735","Charlie Babb","Charlie","Babb","Sikeston","MO","USA","2/4/1950","Memphis","Miami Dolphins","5th","129th",1972,"DB","Jun-00",190,NA,NA,NA,NA,1938,1945,7,36.876719,-89.5878579
"736","Gene Babb","Gene","Babb","El Paso","TX","USA","12/27/1934","Austin","San Francisco 49ers","19th","224th",1957,"LB-FB","3-Jun",216,NA,NA,NA,NA,1938,1945,7,31.7618778,-106.4850217
"737","Harry Babcock","Harry","Babcock","West Nyack","NY","USA","8/12/1930","Georgia","San Francisco 49ers","1st","1st",1953,"E-DE","2-Jun",193,"12/6/1996","Ocala","FL",NA,1938,1945,7,41.096485,-73.9729162
"738","Sam Babcock","Sam","Babcock","Gray","IA","USA","11/5/1901","Syracuse",NA,NA,NA,NA,"WB-FB-BB","6-May",168,"7/28/1970","National City","CA",NA,1938,1945,7,43.885632,-70.3317195
"739","Bill Baber","Bill","Baber","Charlottesville","VA","USA","1/17/1979","Virginia","Kansas City Chiefs","5th","141st",2001,"TE","3-Jun",255,NA,NA,NA,NA,1938,1945,7,38.0293059,-78.4766781
"740","Roderick Babers","Roderick","Babers","Houston","TX","USA","10/6/1980","Texas","New York Giants","4th","123rd",2003,"DB","9-May",190,NA,NA,NA,NA,1938,1945,7,29.7604267,-95.3698028
"741","Bob Babich","Bob","Babich","Youngstown","OH","USA","5/5/1947","Miami (OH)","San Diego Chargers","1st","18th",1969,"LB","2-Jun",231,NA,NA,NA,NA,1938,1945,7,41.0997803,-80.6495194
"742","Jason Babin","Jason","Babin","Kalamazoo","MI","USA","5/24/1980","West. Michigan","Houston Texans","1st","27th",2004,"LB-DE","4-Jun",265,NA,NA,NA,NA,1938,1945,7,42.2917069,-85.5872286
"743","Jonathan Babineaux","Jonathan","Babineaux","Port Arthur","TX","USA","10/12/1981","Iowa","Atlanta Falcons","2nd","59th",2005,"DE-DT","2-Jun",281,NA,NA,NA,NA,1938,1945,7,29.8849504,-93.939947
"744","Jordan Babineaux","Jordan","Babineaux","Port Arthur","TX","USA","8/31/1982","Southern Arkansas",NA,NA,NA,NA,"DB","Jun-00",200,NA,NA,NA,NA,1938,1945,7,29.8849504,-93.939947
"745","John Babinecz","John","Babinecz","Pittsburgh","PA","USA","7/27/1950","Villanova","Dallas Cowboys","2nd","39th",1972,"LB","1-Jun",222,NA,NA,NA,NA,1938,1945,7,40.4406248,-79.9958864
"747","Marty Baccaglio","Marty","Baccaglio","San Francisco","CA","USA","9/28/1944","San Jose St.","San Diego Chargers","14th","355th",1967,"DE","3-Jun",245,NA,NA,NA,NA,2013,2013,0,37.7749295,-122.4194155
"748","Carl Bacchus","Carl","Bacchus","Pine Bluff","AR","USA","7/31/1904","Missouri",NA,NA,NA,NA,"E","Jun-00",204,"3/2/1985","Kansas City","MO",NA,2013,2013,0,34.2284312,-92.0031955
"749","Joe Bachmaier","Joe","Bachmaier","Rochester","NY","USA","1895-03-10","none",NA,NA,NA,NA,"C-G-T-E","9-May",175,"1/14/1974","Rochester","NY",NA,2013,2013,0,43.1565779,-77.6088465
"750","Jay Bachman","Jay","Bachman","Hamilton","OH","USA","12/8/1945","Cincinnati","Green Bay Packers","5th","132nd",1967,"C","3-Jun",250,NA,NA,NA,NA,2013,2013,0,37.0148298,-95.6156498
"751","Ted Bachman","Ted","Bachman","Pensacola","FL","USA","1/19/1952","New Mexico St.",NA,NA,NA,NA,"DB","Jun-00",190,NA,NA,NA,NA,2013,2013,0,30.421309,-87.2169149
"754","Jeff Backus","Jeff","Backus","Midland","MI","USA","9/21/1977","Michigan","Detroit Lions","1st","18th",2001,"T","5-Jun",305,NA,NA,NA,NA,2013,2013,0,31.9973456,-102.0779146
"755","Coy Bacon","Coy","Bacon","Cadiz","KY","USA","8/30/1942","Jackson St.",NA,NA,NA,NA,"DE-DT","4-Jun",270,"12/22/2008","Ironton","OH",NA,2013,2013,0,36.5270612,-6.2885962
"756","Frank Bacon","Frank","Bacon","South Bend","IN","USA","1894-01-11","Wabash",NA,NA,NA,NA,"WB-TB-E","11-May",182,"8/31/1977","Sandusky","OH",NA,2013,2013,0,41.6763545,-86.2519898
"757","Waine Bacon","Waine","Bacon","Ft. Washington","MD","USA","4/11/1979","Alabama","Atlanta Falcons","6th","202nd",2003,"DB","10-May",191,NA,NA,NA,NA,2013,2013,0,38.7073379,-77.0230313
"758","John Badaczewski","John","Badaczewski","Johnstown","PA","USA","1/27/1922","Case Western Reserve",NA,NA,NA,NA,"G-DG","1-Jun",239,"12/12/1999","Rockville","MD",NA,1946,1953,7,40.3267407,-78.9219698
"759","Rick Badanjek","Rick","Badanjek","Warren","OH","USA","4/25/1962","Maryland","Washington Redskins","7th","186th",1986,"RB","8-May",217,NA,NA,NA,NA,1946,1953,7,37.09024,-95.712891
"760","Richard Badar","Richard","Badar","Cleveland","OH","USA","3/8/1943","Indiana",NA,NA,NA,NA,"QB","1-Jun",190,NA,NA,NA,NA,1946,1953,7,41.49932,-81.6943605
"762","Brad Badger","Brad","Badger","Corvallis","OR","USA","1/11/1975","Stanford","Washington Redskins","5th","162nd",1997,"G-T","4-Jun",320,NA,NA,NA,NA,1946,1953,7,44.5645659,-123.2620435
"763","Red Badgro","Red","Badgro","Orillia","WA","USA","12/1/1902","USC",NA,NA,NA,NA,"E-DE","Jun-00",191,"7/13/1998","Kent","WA",NA,1946,1953,7,44.6082465,-79.4196783
"764","Steve Bagarus","Steve","Bagarus","South Bend","IN","USA","6/19/1919","Notre Dame",NA,NA,NA,NA,"HB-DB","Jun-00",173,"10/17/1981","Gaithersburg","MD",NA,1945,1948,3,41.6763545,-86.2519898
"765","Herm Bagby","Herm","Bagby","Lake Village","AR","USA","2/21/1903","Arkansas",NA,NA,NA,NA,"TB-WB-FB-BB","9-May",175,"2/29/1980","Lake Village","AR",NA,1945,1948,3,33.3314091,-91.2842212
"766","Ed Bagdon","Ed","Bagdon","Dearborn","MI","USA","4/30/1926","Michigan St.","Chicago Cardinals","7th","87th",1950,"G-MG-LB","10-May",204,"10/25/1990","Hesperia","CA",NA,1945,1948,3,42.3222599,-83.1763145
"767","Billy Baggett","Billy","Baggett","Greenville","TX","USA","6/2/1929","LSU","Los Angeles Rams","22nd","265th",1951,"HB-DB","11-May",175,NA,NA,NA,NA,1945,1948,3,34.8526176,-82.3940104
"768","Curt Baham","Curt","Baham","Covington","LA","USA","3/2/1963","Tulane",NA,NA,NA,NA,"DB","11-May",180,NA,NA,NA,NA,1987,1987,0,39.0836712,-84.5085536
"769","Pete Bahan","Pete","Bahan","Colegrove","PA","USA","1898-02-18","Notre Dame",NA,NA,NA,NA,"BB-TB-FB","9-May",165,"5/1/1977","Fort Worth","TX",NA,1987,1987,0,42.6992662,-73.1077924
"770","Ken Bahnsen","Ken","Bahnsen","Vinton","LA","USA","2/19/1930","North Texas","San Francisco 49ers","21st","248th",1953,"FB","10-May",200,NA,NA,NA,NA,1987,1987,0,37.2809707,-79.8969819
"771","Chris Bahr","Chris","Bahr","State College","PA","USA","2/3/1953","Penn St.","Cincinnati Bengals","2nd","51st",1976,"K","10-May",170,NA,NA,NA,NA,1987,1987,0,40.7933949,-77.8600012
"772","Matt Bahr","Matt","Bahr","Philadelphia","PA","USA","7/6/1956","Penn St.","Pittsburgh Steelers","6th","165th",1979,"K","10-May",175,NA,NA,NA,NA,1987,1987,0,39.9525839,-75.1652215
"773","Aaron Bailey","Aaron","Bailey","Ann Arbor","MI","USA","10/24/1971","Louisville",NA,NA,NA,NA,"WR","10-May",185,NA,NA,NA,NA,1994,1998,4,42.2808256,-83.7430378
"776","Bill Bailey","Bill","Bailey","Thomasville","NC","USA","4/12/1916","Duke","Brooklyn Dodgers","4th","29th",1940,"E-DE","3-Jun",213,"4/9/1990","Winston-Salem","NC",NA,1994,1998,4,38.8842653,-94.6672736
"777","Boss Bailey","Boss","Bailey","Folkston","GA","USA","10/14/1979","Georgia","Detroit Lions","2nd","34th",2003,"LB","3-Jun",233,NA,NA,NA,NA,1994,1998,4,30.8305102,-82.0098375
"778","Byron Bailey","Byron","Bailey","Omaha","NE","USA","10/12/1930","Washington St.","Detroit Lions","25th","298th",1952,"HB","10-May",192,"1/18/1998","Winfield","Canada",NA,1994,1998,4,41.2565369,-95.9345034
"779","Carlton Bailey","Carlton","Bailey","Baltimore","MD","USA","12/15/1964","North Carolina","Buffalo Bills","9th","235th",1988,"LB","3-Jun",242,NA,NA,NA,NA,1994,1998,4,39.2903848,-76.6121893
"780","Champ Bailey","Champ","Bailey","Folkston","GA","USA","6/22/1978","Georgia","Washington Redskins","1st","7th",1999,"DB","Jun-00",192,NA,NA,NA,NA,1994,1998,4,30.8305102,-82.0098375
"781","Clarence Bailey","Clarence","Bailey","Milford","DE","USA","3/7/1963","Wesley",NA,NA,NA,NA,"RB","11-May",220,NA,NA,NA,NA,1994,1998,4,41.2306979,-73.064036
"783","David Bailey","David","Bailey","Coatesville","PA","USA","9/3/1965","Oklahoma St.",NA,NA,NA,NA,"DE","4-Jun",240,NA,NA,NA,NA,1994,1998,4,39.9831616,-75.8238355
"784","Don Bailey","Don","Bailey","Miami","FL","USA","3/24/1961","Miami (FL)","Denver Broncos","11th","283rd",1983,"C","4-Jun",264,NA,NA,NA,NA,1994,1998,4,25.7616798,-80.1917902
"785","Edwin Bailey","Edwin","Bailey","Savannah","GA","USA","5/15/1959","South Carolina St.","Seattle Seahawks","5th","114th",1981,"G","4-Jun",271,NA,NA,NA,NA,1994,1998,4,32.0808989,-81.091203
"786","Elmer Bailey","Elmer","Bailey","Evanston","IL","USA","12/13/1957","Lincoln (MO)","Miami Dolphins","4th","100th",1980,"WR","Jun-00",196,NA,NA,NA,NA,1994,1998,4,42.0450722,-87.6876969
"787","Eric Bailey","Eric","Bailey","Fort Worth","TX","USA","5/12/1963","Kansas St.",NA,NA,NA,NA,"TE","5-Jun",240,NA,NA,NA,NA,1994,1998,4,32.7554883,-97.3307658
"788","Harold Bailey","Harold","Bailey","Houston","TX","USA","4/12/1957","Oklahoma St.","Houston Oilers","8th","217th",1980,"WR","2-Jun",195,NA,NA,NA,NA,1994,1998,4,29.7604267,-95.3698028
"789","Henry Bailey","Henry","Bailey","Suffolk","VA","USA","2/28/1973","UNLV","Pittsburgh Steelers","7th","235th",1995,"WR","8-May",176,NA,NA,NA,NA,1994,1998,4,36.7282054,-76.5835621
"790","Howard Bailey","Howard","Bailey","Birmingham","AL","USA","1/10/1912","Tennessee",NA,NA,NA,NA,"T","Jun-00",205,NA,NA,NA,NA,1994,1998,4,33.5185892,-86.8103567
"792","Jim Bailey","Jim","Bailey","Kansas City","MO","USA","6/9/1948","Kansas","Baltimore Colts","2nd","44th",1970,"DT-DE","4-Jun",253,NA,NA,NA,NA,1994,1998,4,39.0997265,-94.5785667
"793","Johnny Bailey","Johnny","Bailey","Houston","TX","USA","3/17/1967","Texas A&M-Kingsville","Chicago Bears","9th","228th",1990,"RB","8-May",190,"8/19/2010","Houston","TX",NA,1994,1998,4,29.7604267,-95.3698028
"794","Karsten Bailey","Karsten","Bailey","Newnan","GA","USA","4/26/1977","Auburn","Seattle Seahawks","3rd","82nd",1999,"WR","Jun-00",205,NA,NA,NA,NA,1994,1998,4,33.3806716,-84.7996573
"795","Larry Bailey","Larry","Bailey","San Mateo","CA","USA","5/10/1952","Pacific","Atlanta Falcons","9th","225th",1974,"DT","4-Jun",238,NA,NA,NA,NA,1994,1998,4,37.5629917,-122.3255254
"796","Mark Bailey","Mark","Bailey","Lynwood","CA","USA","12/13/1954","California","Kansas City Chiefs","4th","92nd",1977,"RB","3-Jun",237,NA,NA,NA,NA,1994,1998,4,33.930293,-118.2114603
"797","Monk Bailey","Monk","Bailey","Moab","UT","USA","4/22/1938","Utah",NA,NA,NA,NA,"DB","2-Jun",180,NA,NA,NA,NA,1994,1998,4,38.5733155,-109.5498395
